country,IN,2011,Playground ,2015,877416
district,209,2011,Computer ,2015,194
district,616,2011,Playground ,2015,142
district,616,2011,Boundarywall ,2015,311
district,616,2011,Girls Toilet ,2015,511
district,616,2011,Boys Toilet ,2015,492
district,616,2011,Drinking Water ,2015,561
district,616,2011,Electricity ,2015,185
district,616,2011,Computer ,2015,48
district,240,2011,Playground ,2015,142
district,240,2011,Boundarywall ,2015,311
district,240,2011,Girls Toilet ,2015,511
district,240,2011,Boys Toilet ,2015,492
district,240,2011,Drinking Water ,2015,561
district,240,2011,Electricity ,2015,185
district,240,2011,Computer ,2015,48
district,459,2011,Playground ,2015,1126
district,459,2011,Boundarywall ,2015,493
district,459,2011,Girls Toilet ,2015,1505
district,459,2011,Boys Toilet ,2015,1551
district,459,2011,Drinking Water ,2015,1703
district,459,2011,Electricity ,2015,323
district,459,2011,Computer ,2015,234
district,162,2011,Playground ,2015,1612
district,162,2011,Boundarywall ,2015,1917
district,162,2011,Girls Toilet ,2015,2494
district,162,2011,Boys Toilet ,2015,2472
district,162,2011,Drinking Water ,2015,2499
district,162,2011,Electricity ,2015,1224
district,162,2011,Computer ,2015,184
district,235,2011,Playground ,2015,3026
district,515,2011,Playground ,2015,3026
district,235,2011,Boundarywall ,2015,3415
district,515,2011,Boundarywall ,2015,3415
district,235,2011,Girls Toilet ,2015,5325
district,515,2011,Girls Toilet ,2015,5325
district,235,2011,Boys Toilet ,2015,5227
district,515,2011,Boys Toilet ,2015,5227
district,235,2011,Drinking Water ,2015,5342
district,515,2011,Drinking Water ,2015,5342
district,235,2011,Electricity ,2015,1858
district,515,2011,Electricity ,2015,1858
district,235,2011,Computer ,2015,376
district,515,2011,Computer ,2015,376
district,191,2011,Playground ,2015,3026
district,191,2011,Boundarywall ,2015,3415
district,191,2011,Girls Toilet ,2015,5325
district,191,2011,Boys Toilet ,2015,5227
district,191,2011,Drinking Water ,2015,5342
district,191,2011,Electricity ,2015,1858
district,191,2011,Computer ,2015,376
district,2,2011,Playground ,2015,490
district,2,2011,Boundarywall ,2015,520
district,2,2011,Girls Toilet ,2015,1459
district,2,2011,Boys Toilet ,2015,1448
district,2,2011,Drinking Water ,2015,1468
district,2,2011,Electricity ,2015,250
district,2,2011,Computer ,2015,215
district,556,2011,Playground ,2015,1304
district,556,2011,Boundarywall ,2015,1454
district,556,2011,Girls Toilet ,2015,1780
district,556,2011,Boys Toilet ,2015,1761
district,556,2011,Drinking Water ,2015,1822
district,556,2011,Electricity ,2015,1790
district,556,2011,Computer ,2015,565
district,63,2011,Playground ,2015,392
district,63,2011,Boundarywall ,2015,695
district,63,2011,Girls Toilet ,2015,970
district,63,2011,Boys Toilet ,2015,948
district,63,2011,Drinking Water ,2015,942
district,63,2011,Electricity ,2015,732
district,63,2011,Computer ,2015,378
district,139,2011,Playground ,2015,1112
district,139,2011,Boundarywall ,2015,1161
district,139,2011,Girls Toilet ,2015,1162
district,139,2011,Boys Toilet ,2015,1142
district,139,2011,Drinking Water ,2015,1166
district,139,2011,Electricity ,2015,808
district,139,2011,Computer ,2015,153
district,180,2011,Playground ,2015,2492
district,180,2011,Boundarywall ,2015,2383
district,180,2011,Girls Toilet ,2015,4138
district,180,2011,Boys Toilet ,2015,4098
district,180,2011,Drinking Water ,2015,4060
district,180,2011,Electricity ,2015,934
district,180,2011,Computer ,2015,330
district,324,2011,Playground ,2015,1502
district,324,2011,Boundarywall ,2015,367
district,324,2011,Girls Toilet ,2015,2028
district,324,2011,Boys Toilet ,2015,1711
district,324,2011,Drinking Water ,2015,2005
district,324,2011,Electricity ,2015,265
district,324,2011,Computer ,2015,108
district,457,2011,Playground ,2015,1944
district,457,2011,Boundarywall ,2015,1382
district,457,2011,Girls Toilet ,2015,3190
district,457,2011,Boys Toilet ,2015,3174
district,457,2011,Drinking Water ,2015,3249
district,457,2011,Electricity ,2015,580
district,457,2011,Computer ,2015,306
district,393,2011,Playground ,2015,2991
district,393,2011,Boundarywall ,2015,1860
district,393,2011,Girls Toilet ,2015,3600
district,393,2011,Boys Toilet ,2015,3535
district,393,2011,Drinking Water ,2015,3534
district,393,2011,Electricity ,2015,944
district,393,2011,Computer ,2015,295
district,377,2011,Playground ,2015,2991
district,377,2011,Boundarywall ,2015,1860
district,377,2011,Girls Toilet ,2015,3600
district,377,2011,Boys Toilet ,2015,3535
district,377,2011,Drinking Water ,2015,3534
district,377,2011,Electricity ,2015,944
district,377,2011,Computer ,2015,295
district,193,2011,Playground ,2015,2991
district,193,2011,Boundarywall ,2015,1860
district,193,2011,Girls Toilet ,2015,3600
district,193,2011,Boys Toilet ,2015,3535
district,193,2011,Drinking Water ,2015,3534
district,193,2011,Electricity ,2015,944
district,193,2011,Computer ,2015,295
district,182,2011,Playground ,2015,870
district,182,2011,Boundarywall ,2015,634
district,182,2011,Girls Toilet ,2015,2066
district,182,2011,Boys Toilet ,2015,2047
district,182,2011,Drinking Water ,2015,2090
district,182,2011,Electricity ,2015,374
district,182,2011,Computer ,2015,134
district,469,2011,Playground ,2015,2031
district,469,2011,Boundarywall ,2015,2680
district,469,2011,Girls Toilet ,2015,2727
district,469,2011,Boys Toilet ,2015,2704
district,469,2011,Drinking Water ,2015,2730
district,469,2011,Electricity ,2015,2714
district,469,2011,Computer ,2015,1854
district,170,2011,Playground ,2015,1846
district,170,2011,Boundarywall ,2015,1752
district,170,2011,Girls Toilet ,2015,2482
district,170,2011,Boys Toilet ,2015,2458
district,170,2011,Drinking Water ,2015,2547
district,170,2011,Electricity ,2015,723
district,170,2011,Computer ,2015,199
district,9,2011,Playground ,2015,712
district,9,2011,Boundarywall ,2015,1192
district,9,2011,Girls Toilet ,2015,1373
district,9,2011,Boys Toilet ,2015,1371
district,9,2011,Drinking Water ,2015,1376
district,9,2011,Electricity ,2015,1364
district,9,2011,Computer ,2015,431
district,572,2011,Playground ,2015,712
district,572,2011,Boundarywall ,2015,1192
district,572,2011,Girls Toilet ,2015,1373
district,572,2011,Boys Toilet ,2015,1371
district,572,2011,Drinking Water ,2015,1376
district,572,2011,Electricity ,2015,1364
district,572,2011,Computer ,2015,431
district,583,2011,Playground ,2015,712
district,583,2011,Boundarywall ,2015,1192
district,583,2011,Girls Toilet ,2015,1373
district,583,2011,Boys Toilet ,2015,1371
district,583,2011,Drinking Water ,2015,1376
district,583,2011,Electricity ,2015,1364
district,583,2011,Computer ,2015,431
district,225,2011,Playground ,2015,709
district,225,2011,Boundarywall ,2015,1056
district,225,2011,Girls Toilet ,2015,2079
district,225,2011,Boys Toilet ,2015,2038
district,225,2011,Drinking Water ,2015,2018
district,225,2011,Electricity ,2015,528
district,225,2011,Computer ,2015,132
district,339,2011,Playground ,2015,1811
district,339,2011,Boundarywall ,2015,2347
district,339,2011,Girls Toilet ,2015,5171
district,339,2011,Boys Toilet ,2015,5081
district,339,2011,Drinking Water ,2015,5194
district,339,2011,Electricity ,2015,4310
district,339,2011,Computer ,2015,467
district,125,2011,Playground ,2015,1204
district,125,2011,Boundarywall ,2015,1699
district,125,2011,Girls Toilet ,2015,3638
district,125,2011,Boys Toilet ,2015,3610
district,125,2011,Drinking Water ,2015,3495
district,125,2011,Electricity ,2015,1043
district,125,2011,Computer ,2015,586
district,176,2011,Playground ,2015,761
district,176,2011,Boundarywall ,2015,595
district,176,2011,Girls Toilet ,2015,2296
district,176,2011,Boys Toilet ,2015,2276
district,176,2011,Drinking Water ,2015,2109
district,176,2011,Electricity ,2015,818
district,176,2011,Computer ,2015,269
district,8,2011,Playground ,2015,761
district,8,2011,Boundarywall ,2015,595
district,8,2011,Girls Toilet ,2015,2296
district,8,2011,Boys Toilet ,2015,2276
district,8,2011,Drinking Water ,2015,2109
district,8,2011,Electricity ,2015,818
district,8,2011,Computer ,2015,269
district,128,2011,Playground ,2015,944
district,128,2011,Boundarywall ,2015,1588
district,128,2011,Girls Toilet ,2015,2263
district,128,2011,Boys Toilet ,2015,2223
district,128,2011,Drinking Water ,2015,1982
district,128,2011,Electricity ,2015,956
district,128,2011,Computer ,2015,533
district,335,2011,Playground ,2015,2475
district,335,2011,Boundarywall ,2015,4632
district,335,2011,Girls Toilet ,2015,6716
district,335,2011,Boys Toilet ,2015,6421
district,335,2011,Drinking Water ,2015,6942
district,335,2011,Electricity ,2015,4663
district,335,2011,Computer ,2015,958
district,150,2011,Playground ,2015,3607
district,150,2011,Boundarywall ,2015,2898
district,150,2011,Girls Toilet ,2015,4323
district,150,2011,Boys Toilet ,2015,4287
district,150,2011,Drinking Water ,2015,4301
district,150,2011,Electricity ,2015,1454
district,150,2011,Computer ,2015,463
district,370,2011,Playground ,2015,666
district,370,2011,Boundarywall ,2015,1810
district,370,2011,Girls Toilet ,2015,2135
district,370,2011,Boys Toilet ,2015,1756
district,370,2011,Drinking Water ,2015,2143
district,370,2011,Electricity ,2015,650
district,370,2011,Computer ,2015,281
district,115,2011,Playground ,2015,3035
district,115,2011,Boundarywall ,2015,4793
district,115,2011,Girls Toilet ,2015,6001
district,115,2011,Boys Toilet ,2015,5932
district,115,2011,Drinking Water ,2015,5848
district,115,2011,Electricity ,2015,2079
district,115,2011,Computer ,2015,739
district,54,2011,Playground ,2015,451
district,54,2011,Boundarywall ,2015,467
district,54,2011,Girls Toilet ,2015,465
district,54,2011,Boys Toilet ,2015,460
district,54,2011,Drinking Water ,2015,470
district,54,2011,Electricity ,2015,470
district,54,2011,Computer ,2015,286
district,303,2011,Playground ,2015,1439
district,303,2011,Boundarywall ,2015,622
district,303,2011,Girls Toilet ,2015,2759
district,303,2011,Boys Toilet ,2015,2719
district,303,2011,Drinking Water ,2015,3166
district,303,2011,Electricity ,2015,655
district,303,2011,Computer ,2015,278
district,441,2011,Playground ,2015,1559
district,441,2011,Boundarywall ,2015,683
district,441,2011,Girls Toilet ,2015,2759
district,441,2011,Boys Toilet ,2015,2558
district,441,2011,Drinking Water ,2015,3343
district,441,2011,Electricity ,2015,505
district,441,2011,Computer ,2015,249
district,414,2011,Playground ,2015,2579
district,414,2011,Boundarywall ,2015,1870
district,414,2011,Girls Toilet ,2015,3223
district,414,2011,Boys Toilet ,2015,3167
district,414,2011,Drinking Water ,2015,3233
district,414,2011,Electricity ,2015,1683
district,414,2011,Computer ,2015,306
district,185,2011,Playground ,2015,2579
district,185,2011,Boundarywall ,2015,1870
district,185,2011,Girls Toilet ,2015,3223
district,185,2011,Boys Toilet ,2015,3167
district,185,2011,Drinking Water ,2015,3233
district,185,2011,Electricity ,2015,1683
district,185,2011,Computer ,2015,306
district,46,2011,Playground ,2015,981
district,46,2011,Boundarywall ,2015,1006
district,46,2011,Girls Toilet ,2015,1010
district,46,2011,Boys Toilet ,2015,992
district,46,2011,Drinking Water ,2015,1019
district,46,2011,Electricity ,2015,1019
district,46,2011,Computer ,2015,598
district,391,2011,Playground ,2015,456
district,391,2011,Boundarywall ,2015,1025
district,391,2011,Girls Toilet ,2015,1780
district,391,2011,Boys Toilet ,2015,1776
district,391,2011,Drinking Water ,2015,1777
district,391,2011,Electricity ,2015,610
district,391,2011,Computer ,2015,104
district,222,2011,Playground ,2015,456
district,222,2011,Boundarywall ,2015,1025
district,222,2011,Girls Toilet ,2015,1780
district,222,2011,Boys Toilet ,2015,1776
district,222,2011,Drinking Water ,2015,1777
district,222,2011,Electricity ,2015,610
district,222,2011,Computer ,2015,104
district,555,2011,Playground ,2015,1297
district,555,2011,Boundarywall ,2015,1351
district,555,2011,Girls Toilet ,2015,1824
district,555,2011,Boys Toilet ,2015,1808
district,555,2011,Drinking Water ,2015,1847
district,555,2011,Electricity ,2015,1806
district,555,2011,Computer ,2015,673
district,565,2011,Playground ,2015,1191
district,565,2011,Boundarywall ,2015,1470
district,565,2011,Girls Toilet ,2015,2012
district,565,2011,Boys Toilet ,2015,2000
district,565,2011,Drinking Water ,2015,2024
district,565,2011,Electricity ,2015,1956
district,565,2011,Computer ,2015,759
district,447,2011,Playground ,2015,3004
district,447,2011,Boundarywall ,2015,1684
district,447,2011,Girls Toilet ,2015,3069
district,447,2011,Boys Toilet ,2015,3045
district,447,2011,Drinking Water ,2015,3138
district,447,2011,Electricity ,2015,415
district,447,2011,Computer ,2015,306
district,378,2011,Playground ,2015,781
district,378,2011,Boundarywall ,2015,1548
district,378,2011,Girls Toilet ,2015,2266
district,378,2011,Boys Toilet ,2015,1829
district,378,2011,Drinking Water ,2015,2294
district,378,2011,Electricity ,2015,1208
district,378,2011,Computer ,2015,343
district,224,2011,Playground ,2015,737
district,224,2011,Boundarywall ,2015,1194
district,224,2011,Girls Toilet ,2015,1587
district,224,2011,Boys Toilet ,2015,1552
district,224,2011,Drinking Water ,2015,1910
district,224,2011,Electricity ,2015,1019
district,224,2011,Computer ,2015,148
district,506,2011,Playground ,2015,1168
district,506,2011,Boundarywall ,2015,1117
district,506,2011,Girls Toilet ,2015,1212
district,506,2011,Boys Toilet ,2015,1198
district,506,2011,Drinking Water ,2015,1221
district,506,2011,Electricity ,2015,1198
district,506,2011,Computer ,2015,558
district,105,2011,Playground ,2015,1801
district,105,2011,Boundarywall ,2015,2885
district,105,2011,Girls Toilet ,2015,3227
district,105,2011,Boys Toilet ,2015,3152
district,105,2011,Drinking Water ,2015,3002
district,105,2011,Electricity ,2015,1904
district,105,2011,Computer ,2015,932
district,488,2011,Playground ,2015,851
district,488,2011,Boundarywall ,2015,1172
district,488,2011,Girls Toilet ,2015,1169
district,488,2011,Boys Toilet ,2015,1161
district,488,2011,Drinking Water ,2015,1221
district,488,2011,Electricity ,2015,1221
district,488,2011,Computer ,2015,1008
district,481,2011,Playground ,2015,1021
district,481,2011,Boundarywall ,2015,1261
district,481,2011,Girls Toilet ,2015,1261
district,481,2011,Boys Toilet ,2015,1244
district,481,2011,Drinking Water ,2015,1329
district,481,2011,Electricity ,2015,1329
district,481,2011,Computer ,2015,1238
district,122,2011,Playground ,2015,2351
district,122,2011,Boundarywall ,2015,3245
district,122,2011,Girls Toilet ,2015,4214
district,122,2011,Boys Toilet ,2015,4073
district,122,2011,Drinking Water ,2015,4120
district,122,2011,Electricity ,2015,2284
district,122,2011,Computer ,2015,905
district,420,2011,Playground ,2015,2328
district,420,2011,Boundarywall ,2015,1546
district,420,2011,Girls Toilet ,2015,3233
district,420,2011,Boys Toilet ,2015,3205
district,420,2011,Drinking Water ,2015,3225
district,420,2011,Electricity ,2015,914
district,420,2011,Computer ,2015,541
district,81,2011,Playground ,2015,1374
district,81,2011,Boundarywall ,2015,1650
district,81,2011,Girls Toilet ,2015,1598
district,81,2011,Boys Toilet ,2015,1535
district,81,2011,Drinking Water ,2015,1670
district,81,2011,Electricity ,2015,1630
district,81,2011,Computer ,2015,785
district,231,2011,Playground ,2015,541
district,231,2011,Boundarywall ,2015,1280
district,231,2011,Girls Toilet ,2015,2226
district,231,2011,Boys Toilet ,2015,2124
district,231,2011,Drinking Water ,2015,2216
district,231,2011,Electricity ,2015,578
district,231,2011,Computer ,2015,188
district,444,2011,Playground ,2015,2056
district,444,2011,Boundarywall ,2015,2289
district,444,2011,Girls Toilet ,2015,3028
district,444,2011,Boys Toilet ,2015,3002
district,444,2011,Drinking Water ,2015,3072
district,444,2011,Electricity ,2015,2027
district,444,2011,Computer ,2015,1446
district,523,2011,Playground ,2015,2309
district,523,2011,Boundarywall ,2015,1580
district,523,2011,Girls Toilet ,2015,3186
district,523,2011,Boys Toilet ,2015,3066
district,523,2011,Drinking Water ,2015,3446
district,523,2011,Electricity ,2015,2134
district,523,2011,Computer ,2015,1396
district,558,2011,Playground ,2015,1472
district,558,2011,Boundarywall ,2015,1412
district,558,2011,Girls Toilet ,2015,2106
district,558,2011,Boys Toilet ,2015,2094
district,558,2011,Drinking Water ,2015,2111
district,558,2011,Electricity ,2015,1928
district,558,2011,Computer ,2015,477
district,417,2011,Playground ,2015,190
district,557,2011,Playground ,2015,190
district,417,2011,Boundarywall ,2015,549
district,557,2011,Boundarywall ,2015,549
district,417,2011,Girls Toilet ,2015,711
district,557,2011,Girls Toilet ,2015,711
district,417,2011,Boys Toilet ,2015,641
district,557,2011,Boys Toilet ,2015,641
district,417,2011,Drinking Water ,2015,839
district,557,2011,Drinking Water ,2015,839
district,417,2011,Electricity ,2015,297
district,557,2011,Electricity ,2015,297
district,417,2011,Computer ,2015,121
district,557,2011,Computer ,2015,121
district,134,2011,Playground ,2015,4518
district,134,2011,Boundarywall ,2015,4028
district,134,2011,Girls Toilet ,2015,5021
district,134,2011,Boys Toilet ,2015,4957
district,134,2011,Drinking Water ,2015,5039
district,134,2011,Electricity ,2015,2431
district,134,2011,Computer ,2015,581
district,101,2011,Playground ,2015,1640
district,101,2011,Boundarywall ,2015,2795
district,101,2011,Girls Toilet ,2015,3358
district,101,2011,Boys Toilet ,2015,3285
district,101,2011,Drinking Water ,2015,3377
district,101,2011,Electricity ,2015,1849
district,101,2011,Computer ,2015,1117
district,30,2011,Playground ,2015,1651
district,406,2011,Playground ,2015,1651
district,30,2011,Boundarywall ,2015,2381
district,406,2011,Boundarywall ,2015,2381
district,30,2011,Girls Toilet ,2015,4112
district,406,2011,Girls Toilet ,2015,4112
district,30,2011,Boys Toilet ,2015,4065
district,406,2011,Boys Toilet ,2015,4065
district,30,2011,Drinking Water ,2015,4222
district,406,2011,Drinking Water ,2015,4222
district,30,2011,Electricity ,2015,2988
district,406,2011,Electricity ,2015,2988
district,30,2011,Computer ,2015,465
district,406,2011,Computer ,2015,465
district,334,2011,Playground ,2015,1651
district,334,2011,Boundarywall ,2015,2381
district,334,2011,Girls Toilet ,2015,4112
district,334,2011,Boys Toilet ,2015,4065
district,334,2011,Drinking Water ,2015,4222
district,334,2011,Electricity ,2015,2988
district,334,2011,Computer ,2015,465
district,275,2011,Playground ,2015,231
district,275,2011,Boundarywall ,2015,144
district,275,2011,Girls Toilet ,2015,367
district,275,2011,Boys Toilet ,2015,362
district,275,2011,Drinking Water ,2015,367
district,275,2011,Electricity ,2015,145
district,275,2011,Computer ,2015,134
district,355,2011,Playground ,2015,724
district,355,2011,Boundarywall ,2015,1183
district,355,2011,Girls Toilet ,2015,2267
district,355,2011,Boys Toilet ,2015,2236
district,355,2011,Drinking Water ,2015,2285
district,355,2011,Electricity ,2015,511
district,355,2011,Computer ,2015,338
district,319,2011,Playground ,2015,1016
district,319,2011,Boundarywall ,2015,284
district,319,2011,Girls Toilet ,2015,1196
district,319,2011,Boys Toilet ,2015,1120
district,319,2011,Drinking Water ,2015,1327
district,319,2011,Electricity ,2015,281
district,319,2011,Computer ,2015,121
district,149,2011,Playground ,2015,2227
district,149,2011,Boundarywall ,2015,2327
district,149,2011,Girls Toilet ,2015,3386
district,149,2011,Boys Toilet ,2015,3359
district,149,2011,Drinking Water ,2015,3380
district,149,2011,Electricity ,2015,1092
district,149,2011,Computer ,2015,316
district,142,2011,Playground ,2015,2649
district,142,2011,Boundarywall ,2015,3097
district,142,2011,Girls Toilet ,2015,4022
district,142,2011,Boys Toilet ,2015,3952
district,142,2011,Drinking Water ,2015,4037
district,142,2011,Electricity ,2015,2170
district,142,2011,Computer ,2015,723
district,500,2011,Playground ,2015,1766
district,500,2011,Boundarywall ,2015,2000
district,500,2011,Girls Toilet ,2015,2163
district,500,2011,Boys Toilet ,2015,2140
district,500,2011,Drinking Water ,2015,2205
district,500,2011,Electricity ,2015,1816
district,500,2011,Computer ,2015,886
district,121,2011,Playground ,2015,1013
district,121,2011,Boundarywall ,2015,1424
district,121,2011,Girls Toilet ,2015,1972
district,121,2011,Boys Toilet ,2015,1938
district,121,2011,Drinking Water ,2015,1932
district,121,2011,Electricity ,2015,1133
district,121,2011,Computer ,2015,566
district,467,2011,Playground ,2015,676
district,467,2011,Boundarywall ,2015,432
district,467,2011,Girls Toilet ,2015,875
district,467,2011,Boys Toilet ,2015,864
district,467,2011,Drinking Water ,2015,903
district,467,2011,Electricity ,2015,314
district,467,2011,Computer ,2015,206
district,232,2011,Playground ,2015,335
district,232,2011,Boundarywall ,2015,781
district,232,2011,Girls Toilet ,2015,1302
district,232,2011,Boys Toilet ,2015,1291
district,232,2011,Drinking Water ,2015,1239
district,232,2011,Electricity ,2015,488
district,232,2011,Computer ,2015,78
district,316,2011,Playground ,2015,740
district,316,2011,Boundarywall ,2015,584
district,316,2011,Girls Toilet ,2015,2651
district,316,2011,Boys Toilet ,2015,2521
district,316,2011,Drinking Water ,2015,2363
district,316,2011,Electricity ,2015,562
district,316,2011,Computer ,2015,265
district,95,2011,Playground ,2015,1414
district,95,2011,Boundarywall ,2015,1139
district,95,2011,Girls Toilet ,2015,1767
district,95,2011,Boys Toilet ,2015,1764
